game,field_goals_made,fg_attempts,three_pt_made,three_pt_attempt
Hampton,10,18,1,5
Colorado,11,20,2,5
Radford,7,11,0,0
South Alabama,12,19,3,4
UNC Wilmington,4,10,0,2
Minnesota,4,8,1,1
Hartford,4,10,1,3
Appalachian State,7,16,3,7
Presbyterian,7,11,5,7
Furman,8,12,4,6
Washington,12,16,2,3
Grambling State,5,12,0,2
Mercer,11,19,1,2
Florida State,5,12,0,1
Boston College,6,17,2,7
Pittsburgh,5,15,0,3
Clemson,4,17,2,7
Wake Forest,4,16,1,6
North Carolina State,7,20,1,7
Duke,15,23,5,9
Virginia,6,16,1,5
Notre Dame,5,16,3,7
Miami,11,16,5,5
vtech,8,17,2,5
ncstate,8,19,1,6
gtech,6,15,1,3
louisville,5,12,2,5
syracuse,5,15,2,8
duke,3,11,3,7
boston college,12,22,4,5
nc state,9,23,4,10
